"receipt_id","company","receipt_date","customer_code","ar_account","amount","description","reference"
"JE-HMW-00308","HMW","2025-01-18","CUST-HMW-006","1123","8670000","HMW AR receipts","AR-RCP-HMW-2025-01-1123"
"JE-HMW-00309","HMW","2025-02-18","CUST-HMW-006","1123","8092000","HMW AR receipts","AR-RCP-HMW-2025-02-1123"
"JE-HMW-00310","HMW","2025-03-18","CUST-HMW-006","1123","9826000","HMW AR receipts","AR-RCP-HMW-2025-03-1123"
"JE-HMW-00311","HMW","2025-04-18","CUST-HMW-006","1123","8670000","HMW AR receipts","AR-RCP-HMW-2025-04-1123"
"JE-HMW-00312","HMW","2025-05-18","CUST-HMW-006","1123","9248000","HMW AR receipts","AR-RCP-HMW-2025-05-1123"
"JE-HMW-00313","HMW","2025-06-18","CUST-HMW-006","1123","9826000","HMW AR receipts","AR-RCP-HMW-2025-06-1123"
"JE-HMW-00314","HMW","2025-07-18","CUST-HMW-006","1123","9826000","HMW AR receipts","AR-RCP-HMW-2025-07-1123"
"JE-HMW-00315","HMW","2025-08-18","CUST-HMW-006","1123","9826000","HMW AR receipts","AR-RCP-HMW-2025-08-1123"
"JE-HMW-00316","HMW","2025-09-18","CUST-HMW-006","1123","10404000","HMW AR receipts","AR-RCP-HMW-2025-09-1123"
"JE-HMW-00317","HMW","2025-10-18","CUST-HMW-006","1123","10404000","HMW AR receipts","AR-RCP-HMW-2025-10-1123"
"JE-HMW-00318","HMW","2025-11-18","CUST-HMW-006","1123","10404000","HMW AR receipts","AR-RCP-HMW-2025-11-1123"
"JE-HMW-00319","HMW","2025-12-18","CUST-HMW-006","1123","10404000","HMW AR receipts","AR-RCP-HMW-2025-12-1123"
"JE-HMW-00320","HMW","2025-01-18","CUST-HMW-002","1122","17775000","HMW AR receipts","AR-RCP-HMW-2025-01-1122"
"JE-HMW-00321","HMW","2025-02-18","CUST-HMW-002","1122","16590000","HMW AR receipts","AR-RCP-HMW-2025-02-1122"
"JE-HMW-00322","HMW","2025-03-18","CUST-HMW-002","1122","20145000","HMW AR receipts","AR-RCP-HMW-2025-03-1122"
"JE-HMW-00323","HMW","2025-04-18","CUST-HMW-002","1122","17775000","HMW AR receipts","AR-RCP-HMW-2025-04-1122"
"JE-HMW-00324","HMW","2025-05-18","CUST-HMW-002","1122","18960000","HMW AR receipts","AR-RCP-HMW-2025-05-1122"
"JE-HMW-00325","HMW","2025-06-18","CUST-HMW-002","1122","20145000","HMW AR receipts","AR-RCP-HMW-2025-06-1122"
"JE-HMW-00326","HMW","2025-07-18","CUST-HMW-002","1122","20145000","HMW AR receipts","AR-RCP-HMW-2025-07-1122"
"JE-HMW-00327","HMW","2025-08-18","CUST-HMW-002","1122","20145000","HMW AR receipts","AR-RCP-HMW-2025-08-1122"
"JE-HMW-00328","HMW","2025-09-18","CUST-HMW-002","1122","21330000","HMW AR receipts","AR-RCP-HMW-2025-09-1122"
"JE-HMW-00329","HMW","2025-10-18","CUST-HMW-002","1122","21330000","HMW AR receipts","AR-RCP-HMW-2025-10-1122"
"JE-HMW-00330","HMW","2025-11-18","CUST-HMW-002","1122","21330000","HMW AR receipts","AR-RCP-HMW-2025-11-1122"
"JE-HMW-00331","HMW","2025-12-18","CUST-HMW-002","1122","21330000","HMW AR receipts","AR-RCP-HMW-2025-12-1122"
"JE-HMW-00332","HMW","2025-01-20","CUST-HMW-099","1125","990000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-01"
"JE-HMW-00333","HMW","2025-02-20","CUST-HMW-099","1125","924000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-02"
"JE-HMW-00334","HMW","2025-03-20","CUST-HMW-099","1125","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-03"
"JE-HMW-00335","HMW","2025-04-20","CUST-HMW-099","1125","990000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-04"
"JE-HMW-00336","HMW","2025-05-20","CUST-HMW-099","1125","1056000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-05"
"JE-HMW-00337","HMW","2025-06-20","CUST-HMW-099","1125","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-06"
"JE-HMW-00338","HMW","2025-07-20","CUST-HMW-099","1125","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-07"
"JE-HMW-00339","HMW","2025-08-20","CUST-HMW-099","1125","1122000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-08"
"JE-HMW-00340","HMW","2025-09-20","CUST-HMW-099","1125","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-09"
"JE-HMW-00341","HMW","2025-10-20","CUST-HMW-099","1125","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-10"
"JE-HMW-00342","HMW","2025-11-20","CUST-HMW-099","1125","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-11"
"JE-HMW-00343","HMW","2025-12-20","CUST-HMW-099","1125","1188000","HMW IC AR receipt from CLIK","IC-RCP-HMW-2025-12"
"JE-CLIK-00279","CLIK","2025-01-18","CUST-CLIK-002","1123","4140000","CLIK AR receipts","AR-RCP-CLIK-2025-01"
"JE-CLIK-00280","CLIK","2025-02-18","CUST-CLIK-002","1123","3864000","CLIK AR receipts","AR-RCP-CLIK-2025-02"
"JE-CLIK-00281","CLIK","2025-03-18","CUST-CLIK-002","1123","4692000","CLIK AR receipts","AR-RCP-CLIK-2025-03"
"JE-CLIK-00282","CLIK","2025-04-18","CUST-CLIK-002","1123","4140000","CLIK AR receipts","AR-RCP-CLIK-2025-04"
"JE-CLIK-00283","CLIK","2025-05-18","CUST-CLIK-002","1123","4416000","CLIK AR receipts","AR-RCP-CLIK-2025-05"
"JE-CLIK-00284","CLIK","2025-06-18","CUST-CLIK-002","1123","4692000","CLIK AR receipts","AR-RCP-CLIK-2025-06"
"JE-CLIK-00285","CLIK","2025-07-18","CUST-CLIK-002","1123","4692000","CLIK AR receipts","AR-RCP-CLIK-2025-07"
"JE-CLIK-00286","CLIK","2025-08-18","CUST-CLIK-002","1123","4692000","CLIK AR receipts","AR-RCP-CLIK-2025-08"
"JE-CLIK-00287","CLIK","2025-09-18","CUST-CLIK-002","1123","4968000","CLIK AR receipts","AR-RCP-CLIK-2025-09"
"JE-CLIK-00288","CLIK","2025-10-18","CUST-CLIK-002","1123","4968000","CLIK AR receipts","AR-RCP-CLIK-2025-10"
"JE-CLIK-00289","CLIK","2025-11-18","CUST-CLIK-002","1123","4968000","CLIK AR receipts","AR-RCP-CLIK-2025-11"
"JE-CLIK-00290","CLIK","2025-12-18","CUST-CLIK-002","1123","4968000","CLIK AR receipts","AR-RCP-CLIK-2025-12"
"JE-CLIK-00291","CLIK","2025-01-22","CUST-CLIK-099","1125","247500","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-01"
"JE-CLIK-00292","CLIK","2025-02-22","CUST-CLIK-099","1125","231000","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-02"
"JE-CLIK-00293","CLIK","2025-03-22","CUST-CLIK-099","1125","280500","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-03"
"JE-CLIK-00294","CLIK","2025-04-22","CUST-CLIK-099","1125","247500","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-04"
"JE-CLIK-00295","CLIK","2025-05-22","CUST-CLIK-099","1125","264000","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-05"
"JE-CLIK-00296","CLIK","2025-06-22","CUST-CLIK-099","1125","280500","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-06"
"JE-CLIK-00297","CLIK","2025-07-22","CUST-CLIK-099","1125","280500","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-07"
"JE-CLIK-00298","CLIK","2025-08-22","CUST-CLIK-099","1125","280500","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-08"
"JE-CLIK-00299","CLIK","2025-09-22","CUST-CLIK-099","1125","297000","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-09"
"JE-CLIK-00300","CLIK","2025-10-22","CUST-CLIK-099","1125","297000","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-10"
"JE-CLIK-00301","CLIK","2025-11-22","CUST-CLIK-099","1125","297000","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-11"
"JE-CLIK-00302","CLIK","2025-12-22","CUST-CLIK-099","1125","297000","CLIK IC AR receipt from HMW","IC-RCP-CLIK-2025-12"
"JE-ACG-00100","ACG","2025-01-15","CUST-ACG-001","1125","4565000","ACG receipt of mgmt fee from HMW","AR-RCP-ACG-HMW-2025-01"
"JE-ACG-00101","ACG","2025-01-15","CUST-ACG-002","1125","830000","ACG receipt of mgmt fee from CLIK","AR-RCP-ACG-CLIK-2025-01"
