บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,งบการเงินรวม,,,,,,,,,,,,,,,,,
,,,,,,,,,ส่วนเกินทุนจากการ,,,,,,,,,,,,,
,,,,,ทุน,,ส่วนเกิน,,จัดโครงสร้างธุรกิจ,,ใบสำคัญ,,กำไรสะสม,,,,,,,,,
,,,,,ที่ออกและ,,มูลค่า,,ภายใต้การควบคุม,,แสดงสิทธิ,,ทุนสำรอง,,,,รวมส่วนของ,,ส่วนได้เสียที่ไม่มี,,รวมส่วนของ,
,,,,หมายเหตุ,ชำระแล้ว,,หุ้นสามัญ,,เดียวกัน,,ที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,บริษัทใหญ่,,อำนาจควบคุม,,ผู้ถือหุ้น,
,,,,,(บาท),,,,,,,,,,,,,,,,,
สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม 2567,,,,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2567,,,,,300000000,,137109509,,130891299,,12066566,,7148303,,106272644,,693488321,,1814441,,695302762,
,,,,,,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,14,0,,0,,0,,3279446.97,,0,,0,,3279446.97,,0,,3279446.97,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,20,0,,0,,0,,0,,0,,-7980000,,-7980000,,-20364,,-8000364,
,,,,,,,,,,,,,,,,,,,,,,
,การเปลี่ยนแปลงในส่วนได้เสียในบริษัทย่อย ,,,,,,,,,,,,,,,,,,,,,
,เงินลงทุนในบริษัทย่อยเพิ่มขึ้น,,,,0,,0,,0,,0,,0,,0,,0,,,,0,
,รวมการเปลี่ยนแปลงในส่วนได้เสียในบริษัทย่อย,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,0,,0,,0,,3279446.97,,0,,-7980000,,-4700553.0299999993,,-20364,,-4720917.0299999993,
,,,,,,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับปี,,,,,,,,,,,,,,,,,,,,,,
,กำไร,,,,0,,0,,0,,0,,0,,23918944,,23918944,,178199,,24097143,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับปี,,,,,0,,0,,0,,0,,0,,23918944,,23918944,,178199,,24097143,
,,,,,,,,,,,,,,,,,,,,,,
โอนไปทุนสำรองตามกฎหมาย,,,,15,0,,0,,0,,0,,350000,,-350000,,0,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 ธันวาคม 2567,,,,,300000000,,137109509,,130891299,,15346012.970000001,,7498303,,121861588,,712706711.97000003,,1972276,,714678987.97000003,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
