บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,,,
,,,,,,,,,,,,กำไรสะสม,,,,,
,,,,,,ทุนที่ออก,,ส่วนเกิน,,ใบสำคัญแสดง,,ทุนสำรอง,,,,รวมส่วนของ,
,,,,หมายเหตุ,,และชำระแล้ว,,มูลค่าหุ้นสามัญ,,สิทธิที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,ผู้ถือหุ้น,
,,,,,,(บาท),,,,,,,,,,,
สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม 2567,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2567,,,,,,300000000,,137109509,,12066566,,7148303,,167252750,,623577128,
,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,14,,0,,0,,3279446.97,,0,,0,,3279446.97,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,20,,0,,0,,0,,0,,-7980000,,-7980000,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,0,,0,,3279446.97,,0,,-7980000,,-4700553.0299999993,
,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับปี,,,,,,,,,,,,,,,,,
,กำไร,,,,,0,,0,,0,,0,,6833876,,6833876,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,,0,,0,,0,,0,,0,,0,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับปี,,,,,,0,,0,,0,,0,,6833876,,6833876,
,,,,,,,,,,,,,,,,,
โอนไปทุนสำรองตามกฎหมาย,,,,15,,0,,0,,0,,350000,,-350000,,0,
,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 ธันวาคม 2567,,,,,,300000000,,137109509,,15346012.970000001,,7498303,,165756626,,625710450.97000003,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
