บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) และบริษัทย่อย,,,,,,,,,,,,,,,,,,,
งบการเปลี่ยนแปลงส่วนของผู้ถือหุ้น (ไม่ได้ตรวจสอบ),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,งบการเงินเฉพาะกิจการ,,,,,,,,,,,,,
,,,,,,,,,,,,กำไรสะสม,,,,,,,
,,,,,,ทุนที่ออก,,ส่วนเกิน,,ใบสำคัญแสดง,,ทุนสำรอง,,,,รวมส่วนของ,,,
,,,,,,และชำระแล้ว,,มูลค่าหุ้นสามัญ,,สิทธิที่จะซื้อหุ้น,,ตามกฎหมาย,,ยังไม่ได้จัดสรร,,ผู้ถือหุ้น,,,
,,,,,,(บาท),,,,,,,,,,,,,
สำหรับงวดสามเดือนสิ้นสุดวันที่ 31 มีนาคม 2568,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,,,,,,300000000,,137109509,,15346012.970000001,,7498303,,165756626,,625710450.97000003,,,
,,,,,,,,,,,,,,,,,,,
รายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,,,,,,,,,,,,,,
,เงินทุนที่ได้รับจากผู้ถือหุ้นและการจัดสรรส่วนทุนให้ผู้ถือหุ้น,,,,,,,,,,,,,,,,,,
,การจ่ายโดยใช้หุ้นเป็นเกณฑ์,,,,,0,,0,,304436,,0,,0,,304436,,269916,
,เงินปันผลให้ผู้ถือหุ้นของบริษัท,,,7,,,,,,,,,,,,0,,,
รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้าส่วนของผู้ถือหุ้น,,,,,,0,,0,,304436,,0,,0,,304436,,,
,,,,,,,,,,,,,,,,,,,
กำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,,,,,,,,,,,,,,,
,กำไร,,,,,0,,0,,0,,0,,257444,,257444,,,
,กำไรขาดทุนเบ็ดเสร็จอื่น,,,,,0,,0,,0,,0,,0,,0,,,
รวมกำไรขาดทุนเบ็ดเสร็จสำหรับงวด,,,,,,0,,0,,0,,0,,257444,,257444,,,
,,,,,,,,,,,,,,,,,,,
ยอดคงเหลือ ณ วันที่ 31 มีนาคม 2568,,,,,,300000000,,137109509,,15650448.970000001,,7498303,,166014070,,626272330.97000003,,,
,,,,,,,,,,,,,,,,,,,
